654.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
683.00,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%
715.00,4.4%,1.5%,1.0%,0.5%,0.0%,0.0%
736.00,7.4%,4.5%,2.7%,0.8%,0.0%,0.0%
811.00,8.3%,5.4%,3.6%,2.7%,0.8%,0.0%
919.00,10.5%,7.7%,6.8%,4.0%,3.3%,1.4%
1001.00,11.7%,9.0%,8.2%,5.4%,4.6%,3.3%
1061.00,12.5%,9.9%,9.0%,6.3%,5.0%,4.1%
1139.00,13.6%,11.8%,11.0%,8.3%,7.4%,5.6%
1221.00,14.6%,12.9%,11.9%,9.3%,8.4%,6.6%
1317.00,15.7%,14.9%,13.1%,11.1%,9.4%,8.5%
1419.00,16.7%,15.9%,14.1%,12.3%,10.4%,9.6%
1557.00,17.8%,17.0%,15.1%,13.3%,11.5%,10.6%
1705.00,19.2%,18.4%,16.7%,14.8%,13.9%,12.1%
1864.00,20.6%,20.0%,18.3%,16.6%,15.8%,14.0%
1971.00,21.6%,21.1%,19.2%,17.5%,16.7%,15.0%
2083.00,22.6%,22.1%,20.3%,18.4%,17.7%,16.9%
2211.00,23.6%,23.1%,21.4%,19.6%,18.6%,18.0%
2359.00,24.6%,24.2%,23.4%,20.6%,19.8%,18.9%
2527.00,25.6%,25.2%,24.4%,21.7%,20.9%,20.1%
2758.00,26.6%,26.1%,25.4%,22.7%,21.9%,21.1%
3094.00,27.9%,27.4%,26.6%,23.9%,23.1%,22.3%
3523.00,29.5%,29.4%,29.0%,26.6%,26.2%,25.8%
4105.00,30.7%,30.7%,30.0%,28.6%,27.2%,26.8%
4636.00,32.5%,32.2%,31.8%,30.1%,28.7%,28.3%
5178.00,33.5%,33.2%,32.8%,31.4%,30.7%,29.3%
5862.00,34.5%,34.2%,33.8%,32.4%,32.0%,30.3%
6706.00,36.5%,36.3%,35.7%,35.0%,34.8%,34.6%
7915.00,37.5%,37.3%,37.1%,36.0%,35.8%,35.6%
9531.00,39.5%,39.3%,39.1%,38.0%,37.8%,37.6%
11248.00,40.5%,40.3%,40.1%,39.4%,38.8%,38.6%
18797.00,41.5%,41.3%,41.1%,40.4%,40.2%,39.6%
20160.00,42.5%,42.3%,42.1%,41.4%,41.2%,40.6%
22680.00,43.3%,43.3%,43.1%,42.4%,42.2%,41.8%
25200.00,44.3%,44.3%,44.1%,43.4%,43.2%,43.0%
25200.00,45.3%,45.3%,45.1%,44.4%,44.2%,44.0%
