1,306.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
1,409.00,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%
1,450.00,4.3%,0.8%,0.0%,0.0%,0.0%,0.0%
1,634.00,5.3%,2.8%,0.0%,0.0%,0.0%,0.0%
1,950.00,6.8%,4.9%,3.9%,0.4%,0.0%,0.0%
2,072.00,8.3%,6.4%,5.4%,2.4%,1.4%,0.0%
2,206.00,10.2%,7.4%,6.4%,4.4%,2.4%,1.4%
2,307.00,12.7%,9.8%,7.9%,5.9%,3.9%,2.9%
2,471.00,14.7%,11.8%,9.9%,7.9%,6.0%,3.9%
2,553.00,15.6%,13.8%,11.8%,9.9%,6.9%,6.0%
2,655.00,16.7%,14.8%,12.8%,10.9%,8.9%,7.9%
2,920.00,17.7%,15.8%,13.8%,11.9%,10.9%,9.9%
3,237.00,18.8%,17.3%,15.7%,14.2%,13.6%,13.0%
3,574.00,20.0%,18.5%,16.9%,15.3%,14.7%,14.1%
3,706.00,21.0%,19.7%,18.9%,16.3%,15.7%,15.1%
3,921.00,22.0%,20.7%,20.1%,17.3%,16.7%,16.1%
4,339.00,24.0%,22.7%,22.1%,19.5%,18.7%,18.1%
4,606.00,25.0%,23.7%,23.1%,20.5%,19.9%,19.1%
4,901.00,26.0%,24.7%,24.1%,21.5%,20.9%,20.3%
5,188.00,27.0%,25.7%,25.1%,22.5%,21.9%,21.3%
5,617.00,28.0%,26.7%,26.1%,24.5%,22.9%,22.3%
6,045.00,29.5%,28.2%,27.6%,26.0%,24.4%,23.8%
6,747.00,30.5%,29.4%,29.0%,27.6%,26.2%,25.8%
7,214.00,31.5%,30.6%,30.0%,28.6%,27.2%,26.8%
7,793.00,32.5%,31.6%,31.2%,29.6%,29.2%,27.8%
8,474.00,33.5%,32.6%,32.2%,30.8%,29.7%,28.8%
9,256.00,34.5%,33.6%,33.2%,31.8%,30.4%,29.8%
9,988.00,36.0%,35.1%,34.7%,33.3%,32.9%,31.5%
12,497.00,37.0%,36.1%,35.7%,34.3%,33.9%,32.5%
12,497.00,38.0%,37.1%,36.7%,35.3%,34.9%,33.5%
